m0,m1,m2,j,FOV,globX,globY,Names,cell_ID,cell_center_X,cell_center_Y,cell_center_globX,cell_center_globY,cell_number,cell_globID
0,1740,2111,0,3,2892.0,16626.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1741,2087,0,3,2893.0,16602.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1742,2082,0,3,2894.0,16597.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1742,2099,0,3,2894.0,16614.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1742,2107,0,3,2894.0,16622.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1742,2161,0,3,2894.0,16676.0,Vglut1,2093,1363.328066914498,1908.339219330855,9657.328066914499,18496.339219330854,2093_3,5005
0,1751,2073,0,3,2903.0,16588.0,Vglut1,2095,1366.1471428571429,480.58714285714285,9660.147142857142,17068.587142857144,2095_3,5007
0,1757,2081,0,3,2909.0,16596.0,Vglut1,2130,1411.5148822745446,1732.1674811195026,9705.514882274545,18320.167481119504,2130_3,5036
0,1789,1967,0,3,2941.0,16482.0,Vglut1,2148,1418.6719492868463,266.3502377179081,9712.671949286847,16854.350237717907,2148_3,5048
0,1793,1979,0,3,2945.0,16494.0,Vglut1,2148,1418.6719492868463,266.3502377179081,9712.671949286847,16854.350237717907,2148_3,5048
0,1821,1852,0,3,2973.0,16367.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1830,1860,0,3,2982.0,16375.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
